0,basic
    a,937运行过程中 除了被同等级别watchdog中断外,不能被低优先级的939中断
    b,RR 也只是针对同等优先级的任务.

$ stap cxswitch.stp 70                                                                  (master|…)
 time_off (   1975662 ),prev:               rttest(   937)(pri= 120)(state=130) -> next:            swapper/0(     0)(pri= 120)(state=0)
 time_off (   1975670 ),prev:            swapper/0(     0)(pri= 120)(state=0) -> next:               rttest(   937)(pri= 120)(state=0)
 time_off (   1976051 ),prev:               rttest(   937)(pri= 120)(state=0) -> next:          migration/0(    12)(pri=   0)(state=0)
 time_off (   1976067 ),prev:         kworker/u8:0( 24610)(pri= 120)(state=1) -> next:               rttest(   937)(pri= 120)(state=0)
 time_off (   2076801 ),prev:               rttest(   939)(pri= 120)(state=0) -> next:          migration/1(    17)(pri=   0)(state=0)
 time_off (   2177542 ),prev:               rttest(   941)(pri= 120)(state=0) -> next:          migration/2(    25)(pri=   0)(state=0)
 time_off (   2278297 ),prev:               rttest(   953)(pri= 120)(state=0) -> next:          migration/2(    25)(pri=   0)(state=0)
 time_off (   2379048 ),prev:               rttest(   957)(pri= 120)(state=0) -> next:          migration/2(    25)(pri=   0)(state=0)
 time_off (   2479807 ),prev:               rttest(   960)(pri= 120)(state=0) -> next:          migration/1(    17)(pri=   0)(state=0)
 time_off (   2580613 ),prev:               rttest(   965)(pri= 120)(state=0) -> next:          Web Content(  4288)(pri= 120)(state=0)
 time_off (   2580785 ),prev:          Web Content(  4288)(pri= 120)(state=1) -> next:               rttest(   965)(pri= 120)(state=0)
 time_off (   2580905 ),prev:               rttest(   965)(pri= 120)(state=0) -> next:          migration/1(    17)(pri=   0)(state=0)
 time_off (   3676057 ),prev:               rttest(   937)(pri=   0)(state=0) -> next:           watchdog/3(    32)(pri=   0)(state=0)
    #SCHED_RR,所以可以看到同等级别的watchdog 可以中断937.
 time_off (   3676062 ),prev:           watchdog/3(    32)(pri=   0)(state=1) -> next:               rttest(   937)(pri=   0)(state=0)
 time_off (   6704066 ),prev:               rttest(   937)(pri=   0)(state=1) -> next:          kworker/3:0( 17218)(pri= 120)(state=0)
    #937 pri 99, sleep 2.939得到机会被迁移,调度.939 pri 70 run
 time_off (   6704094 ),prev:         kworker/3:1H(   377)(pri= 100)(state=1) -> next:               rttest(   939)(pri= 120)(state=0)
 time_off (   7608056 ),prev:               rttest(   939)(pri=  29)(state=0) -> next:           watchdog/3(    32)(pri=   0)(state=0)
 time_off (   7608072 ),prev:           watchdog/3(    32)(pri=   0)(state=1) -> next:               rttest(   939)(pri=  29)(state=0)

    #937 sleep 2 wakeup, 939 让给937.
 time_off (   8704066 ),prev:               rttest(   939)(pri=  29)(state=0) -> next:               rttest(   937)(pri=   0)(state=0)
 time_off (  11676055 ),prev:               rttest(   937)(pri=   0)(state=0) -> next:           watchdog/3(    32)(pri=   0)(state=0)
 time_off (  11676060 ),prev:           watchdog/3(    32)(pri=   0)(state=1) -> next:               rttest(   937)(pri=   0)(state=0)
 time_off (  13422969 ),task :rttest PID(937) PRI(0) EXIT
 time_off (  13422986 ),prev:               rttest(   937)(pri=   0)(state=64) -> next:               rttest(   939)(pri=  29)(state=0)
 time_off (  15608057 ),prev:               rttest(   939)(pri=  29)(state=0) -> next:           watchdog/3(    32)(pri=   0)(state=0)
 time_off (  15608063 ),prev:           watchdog/3(    32)(pri=   0)(state=1) -> next:               rttest(   939)(pri=  29)(state=0)
 time_off (  16147983 ),prev:               rttest(   939)(pri=  29)(state=1) -> next:          kworker/3:0( 17218)(pri= 120)(state=0)
    #939 sleep 2,941得到机会调度.
 time_off (  16148040 ),prev:         kworker/3:1H(   377)(pri= 100)(state=1) -> next:               rttest(   941)(pri= 120)(state=0)
    #941 run, set fifo,priority.
 time_off (  18148055 ),prev:               rttest(   941)(pri=  29)(state=0) -> next:               rttest(   939)(pri=  29)(state=0)
    #939 sleep 2,结束 因为是RR,所以941让给939执行.

    $当前939,941两个同级别的fifo进程.约100ms 切换一次.
 time_off (  18223054 ),prev:               rttest(   939)(pri=  29)(state=0) -> next:               rttest(   941)(pri=  29)(state=0)
 time_off (  18323056 ),prev:               rttest(   941)(pri=  29)(state=0) -> next:               rttest(   939)(pri=  29)(state=0)
 time_off (  18423055 ),prev:               rttest(   939)(pri=  29)(state=0) -> next:               rttest(   941)(pri=  29)(state=0)
 time_off (  18523055 ),prev:               rttest(   941)(pri=  29)(state=0) -> next:               rttest(   939)(pri=  29)(state=0)
 time_off (  18623055 ),prev:               rttest(   939)(pri=  29)(state=0) -> next:               rttest(   941)(pri=  29)(state=0)
 time_off (  18723055 ),prev:               rttest(   941)(pri=  29)(state=0) -> next:               rttest(   939)(pri=  29)(state=0)
 time_off (  18823055 ),prev:               rttest(   939)(pri=  29)(state=0) -> next:               rttest(   941)(pri=  29)(state=0)
 time_off (  18923055 ),prev:               rttest(   941)(pri=  29)(state=0) -> next:               rttest(   939)(pri=  29)(state=0)
 time_off (  19023055 ),prev:               rttest(   939)(pri=  29)(state=0) -> next:               rttest(   941)(pri=  29)(state=0)
 time_off (  19123056 ),prev:               rttest(   941)(pri=  29)(state=0) -> next:               rttest(   939)(pri=  29)(state=0)
 time_off (  19223055 ),prev:               rttest(   939)(pri=  29)(state=0) -> next:               rttest(   941)(pri=  29)(state=0)
 time_off (  19323056 ),prev:               rttest(   941)(pri=  29)(state=0) -> next:               rttest(   939)(pri=  29)(state=0)
 time_off (  19423057 ),prev:               rttest(   939)(pri=  29)(state=0) -> next:               rttest(   941)(pri=  29)(state=0)
 time_off (  19523062 ),prev:               rttest(   941)(pri=  29)(state=0) -> next:               rttest(   939)(pri=  29)(state=0)
 time_off (  19608056 ),prev:               rttest(   939)(pri=  29)(state=0) -> next:           watchdog/3(    32)(pri=   0)(state=0)
 time_off (  19608069 ),prev:           watchdog/3(    32)(pri=   0)(state=1) -> next:               rttest(   939)(pri=  29)(state=0)
 time_off (  19623055 ),prev:               rttest(   939)(pri=  29)(state=0) -> next:               rttest(   941)(pri=  29)(state=0)
 time_off (  19723056 ),prev:               rttest(   941)(pri=  29)(state=0) -> next:               rttest(   939)(pri=  29)(state=0)
 time_off (  19823055 ),prev:               rttest(   939)(pri=  29)(state=0) -> next:               rttest(   941)(pri=  29)(state=0)
 time_off (  19923056 ),prev:               rttest(   941)(pri=  29)(state=0) -> next:               rttest(   939)(pri=  29)(state=0)
 time_off (  20023055 ),prev:               rttest(   939)(pri=  29)(state=0) -> next:               rttest(   941)(pri=  29)(state=0)
 time_off (  20123056 ),prev:               rttest(   941)(pri=  29)(state=0) -> next:               rttest(   939)(pri=  29)(state=0)
 time_off (  20223055 ),prev:               rttest(   939)(pri=  29)(state=0) -> next:               rttest(   941)(pri=  29)(state=0)
 time_off (  20323055 ),prev:               rttest(   941)(pri=  29)(state=0) -> next:               rttest(   939)(pri=  29)(state=0)
 time_off (  20423056 ),prev:               rttest(   939)(pri=  29)(state=0) -> next:               rttest(   941)(pri=  29)(state=0)
 time_off (  20523055 ),prev:               rttest(   941)(pri=  29)(state=0) -> next:               rttest(   939)(pri=  29)(state=0)
 time_off (  20623056 ),prev:               rttest(   939)(pri=  29)(state=0) -> next:               rttest(   941)(pri=  29)(state=0)
 time_off (  20723056 ),prev:               rttest(   941)(pri=  29)(state=0) -> next:               rttest(   939)(pri=  29)(state=0)
 time_off (  20823056 ),prev:               rttest(   939)(pri=  29)(state=0) -> next:               rttest(   941)(pri=  29)(state=0)
 time_off (  20923055 ),prev:               rttest(   941)(pri=  29)(state=0) -> next:               rttest(   939)(pri=  29)(state=0)
 time_off (  21023056 ),prev:               rttest(   939)(pri=  29)(state=0) -> next:               rttest(   941)(pri=  29)(state=0)
 time_off (  21123055 ),prev:               rttest(   941)(pri=  29)(state=0) -> next:               rttest(   939)(pri=  29)(state=0)
 time_off (  21223054 ),prev:               rttest(   939)(pri=  29)(state=0) -> next:               rttest(   941)(pri=  29)(state=0)
 time_off (  21323055 ),prev:               rttest(   941)(pri=  29)(state=0) -> next:               rttest(   939)(pri=  29)(state=0)
 time_off (  21423064 ),prev:               rttest(   939)(pri=  29)(state=0) -> next:               rttest(   941)(pri=  29)(state=0)
 time_off (  21523056 ),prev:               rttest(   941)(pri=  29)(state=0) -> next:               rttest(   939)(pri=  29)(state=0)
 time_off (  21623055 ),prev:               rttest(   939)(pri=  29)(state=0) -> next:               rttest(   941)(pri=  29)(state=0)
 time_off (  21723055 ),prev:               rttest(   941)(pri=  29)(state=0) -> next:               rttest(   939)(pri=  29)(state=0)
 time_off (  21823056 ),prev:               rttest(   939)(pri=  29)(state=0) -> next:               rttest(   941)(pri=  29)(state=0)
 time_off (  21923055 ),prev:               rttest(   941)(pri=  29)(state=0) -> next:               rttest(   939)(pri=  29)(state=0)
 time_off (  22023055 ),prev:               rttest(   939)(pri=  29)(state=0) -> next:               rttest(   941)(pri=  29)(state=0)
 time_off (  22123055 ),prev:               rttest(   941)(pri=  29)(state=0) -> next:               rttest(   939)(pri=  29)(state=0)
 time_off (  22223056 ),prev:               rttest(   939)(pri=  29)(state=0) -> next:               rttest(   941)(pri=  29)(state=0)
 time_off (  22323055 ),prev:               rttest(   941)(pri=  29)(state=0) -> next:               rttest(   939)(pri=  29)(state=0)
 time_off (  22423056 ),prev:               rttest(   939)(pri=  29)(state=0) -> next:               rttest(   941)(pri=  29)(state=0)
 time_off (  22523055 ),prev:               rttest(   941)(pri=  29)(state=0) -> next:               rttest(   939)(pri=  29)(state=0)
 time_off (  22623055 ),prev:               rttest(   939)(pri=  29)(state=0) -> next:               rttest(   941)(pri=  29)(state=0)
 time_off (  22723055 ),prev:               rttest(   941)(pri=  29)(state=0) -> next:               rttest(   939)(pri=  29)(state=0)
 time_off (  22823055 ),prev:               rttest(   939)(pri=  29)(state=0) -> next:               rttest(   941)(pri=  29)(state=0)
 time_off (  22923055 ),prev:               rttest(   941)(pri=  29)(state=0) -> next:               rttest(   939)(pri=  29)(state=0)
 time_off (  23023055 ),prev:               rttest(   939)(pri=  29)(state=0) -> next:               rttest(   941)(pri=  29)(state=0)
