
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
C2:9F:05:03:CE:8E, 2017-06-21 15:37:11, 2017-06-21 15:37:30,  2,  54, WPA2, CCMP,PSK, -92,        4,        1,   0.  0.  0.  0,   9, OPPO A37m, 
72:14:A6:EC:42:E4, 2017-06-21 15:37:20, 2017-06-21 15:37:29, 11,  54, WPA2, CCMP,PSK, -87,        3,        0,   0.  0.  0.  0,   1, i, 
00:23:89:A3:52:41, 2017-06-21 15:37:13, 2017-06-21 15:37:28,  6,  54, WPA2 WPA, CCMP TKIP,PSK, -85,        7,        3,   0.  0.  0.  0,   6, Inspur, 
DC:85:DE:DF:BD:30, 2017-06-21 15:37:13, 2017-06-21 15:37:28, 11,  54, WPA2, CCMP,PSK, -86,        4,        0,   0.  0.  0.  0,   8, Henry_S3, 
00:23:89:A3:52:40, 2017-06-21 15:37:13, 2017-06-21 15:37:28,  6,  54, WPA2 WPA, CCMP TKIP,PSK, -85,        7,        0,   0.  0.  0.  0,   8, Inspur-L, 
3C:33:00:EB:38:EA, 2017-06-21 15:37:11, 2017-06-21 15:37:29,  6,  54, WPA2, CCMP,PSK, -78,       32,        4,   0.  0.  0.  0,   6, hhhddd, 
5A:FB:84:C6:32:48, 2017-06-21 15:37:24, 2017-06-21 15:37:28, 11,  54, WPA2, CCMP,PSK, -79,        4,        0,   0.  0.  0.  0,   5, Wi-Fi, 
24:05:0F:41:1F:00, 2017-06-21 15:37:14, 2017-06-21 15:37:29, 11,  54, WPA2, CCMP,PSK, -77,        5,        0,   0.  0.  0.  0,  16, 360\xE5..\xE8\xB4\xB9WiFi-00, 
54:27:1E:B5:66:F3, 2017-06-21 15:37:12, 2017-06-21 15:37:29, 11,  54, WPA2, CCMP,PSK, -84,       13,        0,   0.  0.  0.  0,   4, wind, 
70:F9:6D:34:3C:F1, 2017-06-21 15:37:10, 2017-06-21 15:37:29,  1,  54, WPA2 WPA, CCMP TKIP,PSK, -70,       14,       17,   0.  0.  0.  0,   6, Inspur, 
B0:D5:9D:A3:A6:AC, 2017-06-21 15:37:10, 2017-06-21 15:37:29,  6,  54, WPA2, CCMP,PSK, -69,       44,        1,   0.  0.  0.  0,   3, JQK, 
74:25:8A:8B:34:31, 2017-06-21 15:37:13, 2017-06-21 15:37:28,  6,  54, WPA2 WPA, CCMP TKIP,PSK, -69,        8,       39,   0.  0.  0.  0,   6, Inspur, 
0E:84:DC:EE:6E:B9, 2017-06-21 15:37:11, 2017-06-21 15:37:28, 11,  54, WPA2, CCMP,PSK, -70,        6,        0,   0.  0.  0.  0,  28, DIRECT-THDESKTOP-L38ANT5msPI, 
14:CF:92:BC:A9:4D, 2017-06-21 15:37:12, 2017-06-21 15:37:29, 10,  54, WPA2 WPA, CCMP,PSK, -71,       20,        0,   0.  0.  0.  0,   9, InspurHot, 
58:66:BA:78:6F:01, 2017-06-21 15:37:10, 2017-06-21 15:37:28, 11,  54, WPA2 WPA, CCMP TKIP,PSK, -68,        4,      405,   0.  0.  0.  0,   6, Inspur, 
0C:DA:41:0E:F7:91, 2017-06-21 15:37:10, 2017-06-21 15:37:28, 11,  54, WPA2 WPA, CCMP TKIP,PSK, -67,        6,      401,   0.  0.  0.  0,   6, Inspur, 
EC:0E:C4:03:9A:2D, 2017-06-21 15:37:10, 2017-06-21 15:37:29,  6,  54, WPA2, CCMP,PSK, -59,       44,        0,   0.  0.  0.  0,  28, HP-Print-2d-LaserJet Pro MFP, 
58:66:BA:78:EA:41, 2017-06-21 15:37:13, 2017-06-21 15:37:28, 11,  54, WPA2 WPA, CCMP TKIP,PSK, -63,        4,        7,   0.  0.  0.  0,   6, Inspur, 
74:25:8A:8B:2D:91, 2017-06-21 15:37:13, 2017-06-21 15:37:28,  6,  54, WPA2 WPA, CCMP TKIP,PSK, -53,       12,       77,   0.  0.  0.  0,   6, Inspur, 
70:F9:6D:35:47:91, 2017-06-21 15:37:10, 2017-06-21 15:37:29,  1,  54, WPA2 WPA, CCMP TKIP,PSK, -55,       14,       89,   0.  0.  0.  0,   6, Inspur, 
74:25:8A:8B:34:11, 2017-06-21 15:37:13, 2017-06-21 15:37:28, 11,  54, WPA2 WPA, CCMP TKIP,PSK, -53,        7,       31,   0.  0.  0.  0,   6, Inspur, 
6C:B0:CE:17:AD:71, 2017-06-21 15:37:10, 2017-06-21 15:37:30,  3,  54, WEP, WEP,   , -54,       73,        0,   0.  0.  0.  0,  10, phome-wndr, 
EC:88:8F:43:97:58, 2017-06-21 15:37:10, 2017-06-21 15:37:30,  6,  54, WPA2 WPA, CCMP TKIP,PSK, -41,       57,        0,   0.  0.  0.  0,   8, Inspur-M, 
00:23:89:A3:44:01, 2017-06-21 15:37:12, 2017-06-21 15:37:19,  3,  -1, WPA, ,   ,  -1,        0,       17,   0.  0.  0.  0,   0, , 
58:66:BA:9F:9B:21, 2017-06-21 15:37:13, 2017-06-21 15:37:24, 11,  -1, WPA, ,   ,  -1,        0,       20,   0.  0.  0.  0,   0, , 
74:25:8A:85:30:B1, 2017-06-21 15:37:13, 2017-06-21 15:37:28, 11,  54, WPA2 WPA, CCMP TKIP,PSK, -84,        1,        2,   0.  0.  0.  0,   6, Inspur, 
70:F9:6D:30:61:71, 2017-06-21 15:37:13, 2017-06-21 15:37:28,  6,  -1, WPA, ,   ,  -1,        0,       28,   0.  0.  0.  0,   0, , 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
00:0A:F5:57:BA:B0, 2017-06-21 15:37:10, 2017-06-21 15:37:29, -97,       38, 70:F9:6D:35:47:91,
9A:98:8A:FD:A1:86, 2017-06-21 15:37:23, 2017-06-21 15:37:23, -97,        1, (not associated) ,
DC:85:DE:DF:BA:77, 2017-06-21 15:37:25, 2017-06-21 15:37:26, -93,        3, (not associated) ,
54:27:1E:B5:66:8D, 2017-06-21 15:37:10, 2017-06-21 15:37:21, -91,       19, 70:F9:6D:35:47:91,
80:A5:89:30:59:4B, 2017-06-21 15:37:13, 2017-06-21 15:37:13, -91,        2, (not associated) ,
80:A5:89:30:4E:79, 2017-06-21 15:37:12, 2017-06-21 15:37:13, -89,        2, (not associated) ,
5C:A8:6A:24:6A:53, 2017-06-21 15:37:13, 2017-06-21 15:37:16, -87,        2, (not associated) ,
DC:85:DE:DF:BB:9F, 2017-06-21 15:37:13, 2017-06-21 15:37:27, -87,        6, 3C:33:00:EB:38:EA,
C0:CC:F8:E9:34:B3, 2017-06-21 15:37:13, 2017-06-21 15:37:25, -87,        3, 58:66:BA:78:EA:41,Inspur
80:A5:89:30:58:D7, 2017-06-21 15:37:12, 2017-06-21 15:37:19, -85,       18, 00:23:89:A3:44:01,
28:16:AD:F1:B4:86, 2017-06-21 15:37:23, 2017-06-21 15:37:23, -85,        1, (not associated) ,
80:A5:89:30:59:67, 2017-06-21 15:37:26, 2017-06-21 15:37:28, -85,        2, 58:66:BA:78:6F:01,
DC:85:DE:DF:BB:69, 2017-06-21 15:37:10, 2017-06-21 15:37:10, -83,        1, (not associated) ,
84:3A:4B:5D:2E:94, 2017-06-21 15:37:13, 2017-06-21 15:37:18, -83,        5, 74:25:8A:85:30:B1,Inspur
24:0A:64:2D:2E:D6, 2017-06-21 15:37:25, 2017-06-21 15:37:28, -87,        7, 74:25:8A:85:30:B1,Inspur
DA:A1:19:63:4C:7D, 2017-06-21 15:37:11, 2017-06-21 15:37:11, -81,        1, (not associated) ,
28:16:AD:F1:58:C4, 2017-06-21 15:37:26, 2017-06-21 15:37:26, -81,        1, (not associated) ,
48:3C:0C:D5:6C:F8, 2017-06-21 15:37:21, 2017-06-21 15:37:21, -79,        1, (not associated) ,Inspur
80:A5:89:30:5A:15, 2017-06-21 15:37:24, 2017-06-21 15:37:28, -69,        9, (not associated) ,
28:16:AD:2A:76:CD, 2017-06-21 15:37:27, 2017-06-21 15:37:27, -79,        1, (not associated) ,
40:E2:30:D5:95:80, 2017-06-21 15:37:13, 2017-06-21 15:37:13, -78,        1, 58:66:BA:9F:9B:21,
1C:67:58:37:B6:AD, 2017-06-21 15:37:13, 2017-06-21 15:37:28, -70,       14, 74:25:8A:85:30:B1,
3C:47:11:BB:EC:4E, 2017-06-21 15:37:17, 2017-06-21 15:37:21, -77,        2, 58:66:BA:78:6F:01,
78:4F:43:8B:FB:69, 2017-06-21 15:37:19, 2017-06-21 15:37:19, -77,        2, (not associated) ,
40:E2:30:D5:92:6E, 2017-06-21 15:37:22, 2017-06-21 15:37:23, -77,        8, (not associated) ,
28:C2:DD:EB:89:23, 2017-06-21 15:37:24, 2017-06-21 15:37:28, -77,        3, 58:66:BA:78:EA:41,
FC:3F:7C:22:39:AE, 2017-06-21 15:37:14, 2017-06-21 15:37:29, -79,        5, 70:F9:6D:35:47:91,
94:DB:C9:4A:17:FC, 2017-06-21 15:37:13, 2017-06-21 15:37:18, -75,        6, 74:25:8A:8B:34:11,
CC:25:EF:0E:5B:3A, 2017-06-21 15:37:16, 2017-06-21 15:37:16, -75,        9, (not associated) ,Inspur
B4:0B:44:2D:31:28, 2017-06-21 15:37:14, 2017-06-21 15:37:29, -75,       12, 70:F9:6D:35:47:91,
DA:A1:19:04:11:79, 2017-06-21 15:37:10, 2017-06-21 15:37:10, -73,        1, (not associated) ,
DA:A1:19:9C:BC:24, 2017-06-21 15:37:11, 2017-06-21 15:37:11, -73,        1, (not associated) ,
DC:85:DE:DF:BD:57, 2017-06-21 15:37:10, 2017-06-21 15:37:27, -73,      348, 58:66:BA:78:6F:01,
40:E2:30:D5:94:ED, 2017-06-21 15:37:17, 2017-06-21 15:37:24, -72,       19, 58:66:BA:9F:9B:21,
84:A6:C8:5C:CF:29, 2017-06-21 15:37:13, 2017-06-21 15:37:24, -72,        4, 0C:DA:41:0E:F7:91,
54:27:1E:B5:66:F3, 2017-06-21 15:37:10, 2017-06-21 15:37:10, -71,        2, 0C:DA:41:0E:F7:91,
DA:A1:19:41:17:7F, 2017-06-21 15:37:10, 2017-06-21 15:37:10, -71,        1, (not associated) ,
DC:85:DE:DF:BD:1A, 2017-06-21 15:37:17, 2017-06-21 15:37:17, -71,        2, (not associated) ,
8C:70:5A:F2:FC:38, 2017-06-21 15:37:24, 2017-06-21 15:37:25, -71,        6, (not associated) ,Inspur
E8:2A:EA:AE:7D:47, 2017-06-21 15:37:13, 2017-06-21 15:37:28, -77,       30, 70:F9:6D:30:61:71,
DA:A1:19:12:1F:50, 2017-06-21 15:37:22, 2017-06-21 15:37:22, -70,        2, (not associated) ,
40:E2:30:D5:90:5F, 2017-06-21 15:37:24, 2017-06-21 15:37:24, -70,       10, 74:25:8A:8B:34:11,
28:16:AD:27:BC:44, 2017-06-21 15:37:24, 2017-06-21 15:37:24, -68,        3, 58:66:BA:78:6F:01,
08:D4:0C:72:03:E9, 2017-06-21 15:37:25, 2017-06-21 15:37:25, -68,        1, (not associated) ,
